holdings,cash,total,Date
28158.410819929333,-28.11761033080984,28130.293209598523,2024-09-28
28050.566646569863,-28.11761033080984,28022.449036239053,2024-09-29
27065.13466954714,-28.11761033080984,27037.01705921633,2024-09-30
25999.918037211788,-28.11761033080984,25971.80042688098,2024-10-01
25912.639380440793,-28.11761033080984,25884.521770109983,2024-10-02
25966.75178036763,-28.11761033080984,25938.63417003682,2024-10-03
26525.783588422826,-28.11761033080984,26497.665978092016,2024-10-04
26535.387729743834,-28.11761033080984,26507.270119413024,2024-10-05
26846.94220115577,-28.11761033080984,26818.82459082496,2024-10-06
26598.087597592672,-28.11761033080984,26569.969987261862,2024-10-07
0.0,26536.961087754185,26536.961087754185,2024-10-08
0.0,26536.961087754185,26536.961087754185,2024-10-09
0.0,26536.961087754185,26536.961087754185,2024-10-10
27492.16502920099,-26.53696108774966,27465.62806811324,2024-10-11
27821.451348456983,-26.53696108774966,27794.914387369234,2024-10-12
27671.036716190123,-26.53696108774966,27644.499755102373,2024-10-13
29077.56194414334,-26.53696108774966,29051.02498305559,2024-10-14
0.0,29023.813225007438,29023.813225007438,2024-10-15
0.0,29023.813225007438,29023.813225007438,2024-10-16
0.0,29023.813225007438,29023.813225007438,2024-10-17
29454.173649578588,-29.023813225005142,29425.149836353583,2024-10-18
0.0,29395.776300420297,29395.776300420297,2024-10-19
29669.903722714982,-29.39577630041822,29640.507946414564,2024-10-20
28967.367171279937,-29.39577630041822,28937.97139497952,2024-10-21
28964.595764304788,-29.39577630041822,28935.19998800437,2024-10-22
0.0,28906.65152655577,28906.65152655577,2024-10-23
0.0,28906.65152655577,28906.65152655577,2024-10-24
0.0,28906.65152655577,28906.65152655577,2024-10-25
0.0,28906.65152655577,28906.65152655577,2024-10-26
0.0,28906.65152655577,28906.65152655577,2024-10-27
0.0,28906.65152655577,28906.65152655577,2024-10-28
0.0,28906.65152655577,28906.65152655577,2024-10-29
0.0,28906.65152655577,28906.65152655577,2024-10-30
0.0,28906.65152655577,28906.65152655577,2024-10-31
0.0,28906.65152655577,28906.65152655577,2024-11-01
0.0,28906.65152655577,28906.65152655577,2024-11-02
0.0,28906.65152655577,28906.65152655577,2024-11-03
0.0,28906.65152655577,28906.65152655577,2024-11-04
0.0,28906.65152655577,28906.65152655577,2024-11-05
